Año;Tipo territorio;Código territorio;Territorio;Rama de actividad;Valor;Estado dato
2016;Municipios;0170;Batres;Agricultura y ganadería;0;
2016;Municipios;0186;Becerril de la Sierra;Agricultura y ganadería;20;
2016;Municipios;0199;Belmonte de Tajo;Agricultura y ganadería;12;
2016;Municipios;0210;Berrueco (El);Agricultura y ganadería;2;
2016;Municipios;0203;Berzosa del Lozoya;Agricultura y ganadería;0;
2016;Municipios;0225;Boadilla del Monte;Agricultura y ganadería;28;
2016;Municipios;0231;Boalo (El);Agricultura y ganadería;26;
2016;Municipios;0246;Braojos;Agricultura y ganadería;6;
2016;Municipios;0259;Brea de Tajo;Agricultura y ganadería;13;
2016;Municipios;0262;Brunete;Agricultura y ganadería;28;
2016;Municipios;0278;Buitrago del Lozoya;Agricultura y ganadería;20;
2016;Municipios;0284;Bustarviejo;Agricultura y ganadería;27;
2016;Municipios;0297;Cabanillas de la Sierra;Agricultura y ganadería;4;
2016;Municipios;0301;Cabrera (La);Agricultura y ganadería;9;
2016;Municipios;0318;Cadalso de los Vidrios;Agricultura y ganadería;23;
2016;Municipios;0323;Camarma de Esteruelas;Agricultura y ganadería;7;
2016;Municipios;0339;Campo Real;Agricultura y ganadería;16;
2016;Municipios;0344;Canencia;Agricultura y ganadería;20;
2016;Municipios;0357;Carabaña;Agricultura y ganadería;14;
2016;Municipios;0360;Casarrubuelos;Agricultura y ganadería;3;
2016;Municipios;0376;Cenicientos;Agricultura y ganadería;36;
2016;Municipios;0382;Cercedilla;Agricultura y ganadería;30;
2016;Municipios;0395;Cervera de Buitrago;Agricultura y ganadería;3;
2016;Municipios;0513;Chapinería;Agricultura y ganadería;18;
2016;Municipios;0528;Chinchón;Agricultura y ganadería;173;
2016;Municipios;0409;Ciempozuelos;Agricultura y ganadería;54;
2016;Municipios;0416;Cobeña;Agricultura y ganadería;20;
2016;Municipios;0468;Collado Mediano;Agricultura y ganadería;7;
2016;Municipios;0474;Collado Villalba;Agricultura y ganadería;54;
2016;Municipios;0437;Colmenar de Oreja;Agricultura y ganadería;79;
2016;Municipios;0421;Colmenar del Arroyo;Agricultura y ganadería;32;
2016;Municipios;0455;Colmenar Viejo;Agricultura y ganadería;132;
2016;Municipios;0442;Colmenarejo;Agricultura y ganadería;12;
2016;Municipios;0480;Corpa;Agricultura y ganadería;5;
2016;Municipios;0493;Coslada;Agricultura y ganadería;30;
2016;Municipios;0506;Cubas de la Sagra;Agricultura y ganadería;3;
2016;Municipios;0534;Daganzo de Arriba;Agricultura y ganadería;16;
2016;Municipios;0549;Escorial (El);Agricultura y ganadería;35;
2016;Municipios;0552;Estremera;Agricultura y ganadería;21;
2016;Municipios;0565;Fresnedillas de la Oliva;Agricultura y ganadería;9;
2016;Municipios;0571;Fresno de Torote;Agricultura y ganadería;8;
2016;Municipios;0587;Fuenlabrada;Agricultura y ganadería;100;
2016;Municipios;0590;Fuente el Saz de Jarama;Agricultura y ganadería;32;
2016;Municipios;0604;Fuentidueña de Tajo;Agricultura y ganadería;33;
2016;Municipios;0611;Galapagar;Agricultura y ganadería;40;
2016;Municipios;0626;Garganta de los Montes;Agricultura y ganadería;15;
2016;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Agricultura y ganadería;7;
2016;Municipios;0647;Gascones;Agricultura y ganadería;10;
2016;Municipios;0650;Getafe;Agricultura y ganadería;76;
2016;Municipios;0663;Griñón;Agricultura y ganadería;18;
2016;Municipios;0679;Guadalix de la Sierra;Agricultura y ganadería;61;
2016;Municipios;0685;Guadarrama;Agricultura y ganadería;34;
2016;Municipios;0698;Hiruela (La);Agricultura y ganadería;0;
2016;Municipios;0702;Horcajo de la Sierra-Aoslos;Agricultura y ganadería;5;
2016;Municipios;0719;Horcajuelo de la Sierra;Agricultura y ganadería;4;
2016;Municipios;0724;Hoyo de Manzanares;Agricultura y ganadería;15;
2016;Municipios;0730;Humanes de Madrid;Agricultura y ganadería;21;
2016;Municipios;0745;Leganés;Agricultura y ganadería;66;
2016;Municipios;0758;Loeches;Agricultura y ganadería;7;
2016;Municipios;0761;Lozoya;Agricultura y ganadería;20;
2016;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Agricultura y ganadería;9;
2016;Municipios;0783;Madarcos;Agricultura y ganadería;2;
2016;Municipios;0796;Madrid;Agricultura y ganadería;1265;
2016;Municipios;0800;Majadahonda;Agricultura y ganadería;49;
2016;Municipios;0822;Manzanares el Real;Agricultura y ganadería;30;
2016;Municipios;0838;Meco;Agricultura y ganadería;21;
2016;Municipios;0843;Mejorada del Campo;Agricultura y ganadería;10;
2016;Municipios;0856;Miraflores de la Sierra;Agricultura y ganadería;34;
2016;Municipios;0869;Molar (El);Agricultura y ganadería;20;
2016;Municipios;0875;Molinos (Los);Agricultura y ganadería;13;
2016;Municipios;0881;Montejo de la Sierra;Agricultura y ganadería;9;
2016;Municipios;0894;Moraleja de Enmedio;Agricultura y ganadería;12;
2016;Municipios;0908;Moralzarzal;Agricultura y ganadería;15;
2016;Municipios;0915;Morata de Tajuña;Agricultura y ganadería;66;
2016;Municipios;0920;Móstoles;Agricultura y ganadería;84;
2016;Municipios;0936;Navacerrada;Agricultura y ganadería;1;
2016;Municipios;0941;Navalafuente;Agricultura y ganadería;11;
2016;Municipios;0954;Navalagamella;Agricultura y ganadería;18;
2016;Municipios;0967;Navalcarnero;Agricultura y ganadería;70;
2016;Municipios;0973;Navarredonda y San Mamés;Agricultura y ganadería;3;
2016;Municipios;0992;Navas del Rey;Agricultura y ganadería;18;
2016;Municipios;1006;Nuevo Baztán;Agricultura y ganadería;6;
2016;Municipios;1013;Olmeda de las Fuentes;Agricultura y ganadería;5;
2016;Municipios;1028;Orusco de Tajuña;Agricultura y ganadería;4;
2016;Municipios;1049;Paracuellos de Jarama;Agricultura y ganadería;15;
2016;Municipios;1065;Parla;Agricultura y ganadería;73;
2016;Municipios;1071;Patones;Agricultura y ganadería;4;
2016;Municipios;1087;Pedrezuela;Agricultura y ganadería;11;
2016;Municipios;1090;Pelayos de la Presa;Agricultura y ganadería;2;
2016;Municipios;1104;Perales de Tajuña;Agricultura y ganadería;11;
2016;Municipios;1111;Pezuela de las Torres;Agricultura y ganadería;14;
2016;Municipios;1126;Pinilla del Valle;Agricultura y ganadería;5;
2016;Municipios;1132;Pinto;Agricultura y ganadería;28;
2016;Municipios;1147;Piñuécar-Gandullas;Agricultura y ganadería;8;
2016;Municipios;1150;Pozuelo de Alarcón;Agricultura y ganadería;54;
2016;Municipios;1163;Pozuelo del Rey;Agricultura y ganadería;9;
2016;Municipios;1179;Prádena del Rincón;Agricultura y ganadería;7;
2016;Municipios;1185;Puebla de la Sierra;Agricultura y ganadería;6;
2016;Municipios;9020;Puentes Viejas;Agricultura y ganadería;5;
2016;Municipios;1198;Quijorna;Agricultura y ganadería;9;
2016;Municipios;1202;Rascafría;Agricultura y ganadería;36;
2016;Municipios;1219;Redueña;Agricultura y ganadería;3;
2016;Municipios;1224;Ribatejada;Agricultura y ganadería;2;
2016;Municipios;1230;Rivas-Vaciamadrid;Agricultura y ganadería;29;
2016;Municipios;1245;Robledillo de la Jara;Agricultura y ganadería;0;
2016;Municipios;1258;Robledo de Chavela;Agricultura y ganadería;54;
2016;Municipios;1261;Robregordo;Agricultura y ganadería;2;
2016;Municipios;1277;Rozas de Madrid (Las);Agricultura y ganadería;44;
2016;Municipios;1283;Rozas de Puerto Real;Agricultura y ganadería;4;
2016;Municipios;1296;San Agustín del Guadalix;Agricultura y ganadería;19;
2016;Municipios;1300;San Fernando de Henares;Agricultura y ganadería;20;
2016;Municipios;1317;San Lorenzo de El Escorial;Agricultura y ganadería;43;
2016;Municipios;1322;San Martín de la Vega;Agricultura y ganadería;84;
2016;Municipios;1338;San Martín de Valdeiglesias;Agricultura y ganadería;41;
2016;Municipios;1343;San Sebastián de los Reyes;Agricultura y ganadería;64;
2016;Municipios;1356;Santa María de la Alameda;Agricultura y ganadería;24;
2016;Municipios;1369;Santorcaz;Agricultura y ganadería;6;
2016;Municipios;1375;Santos de la Humosa (Los);Agricultura y ganadería;9;
2016;Municipios;1381;Serna del Monte (La);Agricultura y ganadería;9;
2016;Municipios;1408;Serranillos del Valle;Agricultura y ganadería;7;
2016;Municipios;1415;Sevilla la Nueva;Agricultura y ganadería;9;
2016;Municipios;9999;Sin municipio asignado;Agricultura y ganadería;951;
2016;Municipios;1436;Somosierra;Agricultura y ganadería;5;
2016;Municipios;1441;Soto del Real;Agricultura y ganadería;25;
2016;Municipios;1454;Talamanca de Jarama;Agricultura y ganadería;9;
2016;Municipios;1467;Tielmes;Agricultura y ganadería;15;
2016;Municipios;1473;Titulcia;Agricultura y ganadería;6;
2016;Municipios;1489;Torrejón de Ardoz;Agricultura y ganadería;74;
2016;Municipios;1492;Torrejón de la Calzada;Agricultura y ganadería;8;
2016;Municipios;1505;Torrejón de Velasco;Agricultura y ganadería;30;
2016;Municipios;1512;Torrelaguna;Agricultura y ganadería;26;
2016;Municipios;1527;Torrelodones;Agricultura y ganadería;6;
2016;Municipios;1533;Torremocha de Jarama;Agricultura y ganadería;8;
2016;Municipios;1548;Torres de la Alameda;Agricultura y ganadería;20;
2016;Municipios;9036;Tres Cantos;Agricultura y ganadería;25;
2016;Municipios;1551;Valdaracete;Agricultura y ganadería;27;
2016;Municipios;1564;Valdeavero;Agricultura y ganadería;21;
2016;Municipios;1570;Valdelaguna;Agricultura y ganadería;7;
2016;Municipios;1586;Valdemanco;Agricultura y ganadería;4;
2016;Municipios;1599;Valdemaqueda;Agricultura y ganadería;7;
2016;Municipios;1603;Valdemorillo;Agricultura y ganadería;29;
2016;Municipios;1610;Valdemoro;Agricultura y ganadería;45;
2016;Municipios;1625;Valdeolmos-Alalpardo;Agricultura y ganadería;11;
2016;Municipios;1631;Valdepiélagos;Agricultura y ganadería;5;
2016;Municipios;1646;Valdetorres de Jarama;Agricultura y ganadería;16;
2016;Municipios;1659;Valdilecha;Agricultura y ganadería;40;
2016;Municipios;1662;Valverde de Alcalá;Agricultura y ganadería;4;
2016;Municipios;1678;Velilla de San Antonio;Agricultura y ganadería;8;
2016;Municipios;1684;Vellón (El);Agricultura y ganadería;11;
2016;Municipios;1697;Venturada;Agricultura y ganadería;4;
2016;Municipios;1718;Villa del Prado;Agricultura y ganadería;228;
2016;Municipios;1701;Villaconejos;Agricultura y ganadería;135;
2016;Municipios;1723;Villalbilla;Agricultura y ganadería;4;
2016;Municipios;1739;Villamanrique de Tajo;Agricultura y ganadería;24;
2016;Municipios;1744;Villamanta;Agricultura y ganadería;51;
2016;Municipios;1757;Villamantilla;Agricultura y ganadería;6;
2016;Municipios;1760;Villanueva de la Cañada;Agricultura y ganadería;30;
2016;Municipios;1782;Villanueva de Perales;Agricultura y ganadería;6;
2016;Municipios;1776;Villanueva del Pardillo;Agricultura y ganadería;31;
2016;Municipios;1795;Villar del Olmo;Agricultura y ganadería;4;
2016;Municipios;1809;Villarejo de Salvanés;Agricultura y ganadería;70;
2016;Municipios;1816;Villaviciosa de Odón;Agricultura y ganadería;28;
2016;Municipios;1821;Villavieja del Lozoya;Agricultura y ganadería;9;
2016;Municipios;1837;Zarzalejo;Agricultura y ganadería;12;
2016;Zonas Estadísticas;03;Este Metropolitano;Agricultura y ganadería;338;
2016;Zonas Estadísticas;01;Municipio de Madrid;Agricultura y ganadería;1265;
2016;Zonas Estadísticas;07;Nordeste Comunidad;Agricultura y ganadería;168;
2016;Zonas Estadísticas;02;Norte Metropolitano;Agricultura y ganadería;362;
2016;Zonas Estadísticas;05;Oeste Metropolitano;Agricultura y ganadería;376;
2016;Zonas Estadísticas;11;Sierra Central;Agricultura y ganadería;391;
2016;Zonas Estadísticas;06;Sierra Norte;Agricultura y ganadería;422;
2016;Zonas Estadísticas;10;Sierra Sur;Agricultura y ganadería;298;
2016;Zonas Estadísticas;99;Sin Zona asignada;Agricultura y ganadería;951;
2016;Zonas Estadísticas;08;Sudeste Comunidad;Agricultura y ganadería;872;
2016;Zonas Estadísticas;09;Sudoeste Comunidad;Agricultura y ganadería;522;
2016;Zonas Estadísticas;04;Sur Metropolitano;Agricultura y ganadería;843;
2017;Comunidad de Madrid;;Comunidad de Madrid;Agricultura y ganadería;7036;
2017;Municipios;0014;Acebeda (La);Agricultura y ganadería;4;
2017;Municipios;0029;Ajalvir;Agricultura y ganadería;15;
2017;Municipios;0035;Alameda del Valle;Agricultura y ganadería;6;
2017;Municipios;0040;Álamo (El);Agricultura y ganadería;21;
2017;Municipios;0053;Alcalá de Henares;Agricultura y ganadería;88;
2017;Municipios;0066;Alcobendas;Agricultura y ganadería;80;
2017;Municipios;0072;Alcorcón;Agricultura y ganadería;55;
2017;Municipios;0088;Aldea del Fresno;Agricultura y ganadería;29;
2017;Municipios;0091;Algete;Agricultura y ganadería;30;
2017;Municipios;0105;Alpedrete;Agricultura y ganadería;8;
2017;Municipios;0112;Ambite;Agricultura y ganadería;5;
2017;Municipios;0127;Anchuelo;Agricultura y ganadería;10;
2017;Municipios;0133;Aranjuez;Agricultura y ganadería;175;
2017;Municipios;0148;Arganda del Rey;Agricultura y ganadería;69;
2017;Municipios;0151;Arroyomolinos;Agricultura y ganadería;13;
2017;Municipios;0164;Atazar (El);Agricultura y ganadería;1;
2017;Municipios;0170;Batres;Agricultura y ganadería;0;
2017;Municipios;0186;Becerril de la Sierra;Agricultura y ganadería;22;
2017;Municipios;0199;Belmonte de Tajo;Agricultura y ganadería;14;
2017;Municipios;0210;Berrueco (El);Agricultura y ganadería;2;
2017;Municipios;0203;Berzosa del Lozoya;Agricultura y ganadería;0;
2017;Municipios;0225;Boadilla del Monte;Agricultura y ganadería;24;
2017;Municipios;0231;Boalo (El);Agricultura y ganadería;27;
2017;Municipios;0246;Braojos;Agricultura y ganadería;8;
2017;Municipios;0259;Brea de Tajo;Agricultura y ganadería;14;
2017;Municipios;0262;Brunete;Agricultura y ganadería;29;
2017;Municipios;0278;Buitrago del Lozoya;Agricultura y ganadería;23;
2017;Municipios;0284;Bustarviejo;Agricultura y ganadería;25;
2017;Municipios;0297;Cabanillas de la Sierra;Agricultura y ganadería;5;
2017;Municipios;0301;Cabrera (La);Agricultura y ganadería;12;
2017;Municipios;0318;Cadalso de los Vidrios;Agricultura y ganadería;25;
2017;Municipios;0323;Camarma de Esteruelas;Agricultura y ganadería;8;
2017;Municipios;0339;Campo Real;Agricultura y ganadería;17;
2017;Municipios;0344;Canencia;Agricultura y ganadería;19;
2017;Municipios;0357;Carabaña;Agricultura y ganadería;14;
2017;Municipios;0360;Casarrubuelos;Agricultura y ganadería;2;
2017;Municipios;0376;Cenicientos;Agricultura y ganadería;30;
2017;Municipios;0382;Cercedilla;Agricultura y ganadería;34;
2017;Municipios;0395;Cervera de Buitrago;Agricultura y ganadería;3;
2017;Municipios;0513;Chapinería;Agricultura y ganadería;23;
2017;Municipios;0528;Chinchón;Agricultura y ganadería;176;
2017;Municipios;0409;Ciempozuelos;Agricultura y ganadería;59;
2017;Municipios;0416;Cobeña;Agricultura y ganadería;18;
2017;Municipios;0468;Collado Mediano;Agricultura y ganadería;7;
2017;Municipios;0474;Collado Villalba;Agricultura y ganadería;59;
2017;Municipios;0437;Colmenar de Oreja;Agricultura y ganadería;83;
2017;Municipios;0421;Colmenar del Arroyo;Agricultura y ganadería;37;
2017;Municipios;0455;Colmenar Viejo;Agricultura y ganadería;137;
2017;Municipios;0442;Colmenarejo;Agricultura y ganadería;13;
2017;Municipios;0480;Corpa;Agricultura y ganadería;4;
2017;Municipios;0493;Coslada;Agricultura y ganadería;27;
2017;Municipios;0506;Cubas de la Sagra;Agricultura y ganadería;5;
2017;Municipios;0534;Daganzo de Arriba;Agricultura y ganadería;14;
2017;Municipios;0549;Escorial (El);Agricultura y ganadería;43;
2017;Municipios;0552;Estremera;Agricultura y ganadería;21;
2017;Municipios;0565;Fresnedillas de la Oliva;Agricultura y ganadería;7;
2017;Municipios;0571;Fresno de Torote;Agricultura y ganadería;10;
2017;Municipios;0587;Fuenlabrada;Agricultura y ganadería;113;
2017;Municipios;0590;Fuente el Saz de Jarama;Agricultura y ganadería;35;
2017;Municipios;0604;Fuentidueña de Tajo;Agricultura y ganadería;31;
2017;Municipios;0611;Galapagar;Agricultura y ganadería;37;
2017;Municipios;0626;Garganta de los Montes;Agricultura y ganadería;15;
2017;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Agricultura y ganadería;6;
2017;Municipios;0647;Gascones;Agricultura y ganadería;11;
2017;Municipios;0650;Getafe;Agricultura y ganadería;74;
2017;Municipios;0663;Griñón;Agricultura y ganadería;17;
2017;Municipios;0679;Guadalix de la Sierra;Agricultura y ganadería;63;
2017;Municipios;0685;Guadarrama;Agricultura y ganadería;33;
2017;Municipios;0698;Hiruela (La);Agricultura y ganadería;0;
2017;Municipios;0702;Horcajo de la Sierra-Aoslos;Agricultura y ganadería;4;
2017;Municipios;0719;Horcajuelo de la Sierra;Agricultura y ganadería;3;
2017;Municipios;0724;Hoyo de Manzanares;Agricultura y ganadería;12;
2017;Municipios;0730;Humanes de Madrid;Agricultura y ganadería;18;
2017;Municipios;0745;Leganés;Agricultura y ganadería;80;
2017;Municipios;0758;Loeches;Agricultura y ganadería;9;
2017;Municipios;0761;Lozoya;Agricultura y ganadería;20;
2017;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Agricultura y ganadería;9;
2017;Municipios;0783;Madarcos;Agricultura y ganadería;2;
2017;Municipios;0796;Madrid;Agricultura y ganadería;1315;
2017;Municipios;0800;Majadahonda;Agricultura y ganadería;48;
2017;Municipios;0822;Manzanares el Real;Agricultura y ganadería;28;
2017;Municipios;0838;Meco;Agricultura y ganadería;26;
2017;Municipios;0843;Mejorada del Campo;Agricultura y ganadería;12;
2017;Municipios;0856;Miraflores de la Sierra;Agricultura y ganadería;37;
2017;Municipios;0869;Molar (El);Agricultura y ganadería;19;
2017;Municipios;0875;Molinos (Los);Agricultura y ganadería;16;
2017;Municipios;0881;Montejo de la Sierra;Agricultura y ganadería;7;
2017;Municipios;0894;Moraleja de Enmedio;Agricultura y ganadería;14;
2017;Municipios;0908;Moralzarzal;Agricultura y ganadería;16;
2017;Municipios;0915;Morata de Tajuña;Agricultura y ganadería;64;
2017;Municipios;0920;Móstoles;Agricultura y ganadería;88;
2017;Municipios;0936;Navacerrada;Agricultura y ganadería;1;
2017;Municipios;0941;Navalafuente;Agricultura y ganadería;11;
2017;Municipios;0954;Navalagamella;Agricultura y ganadería;14;
2017;Municipios;0967;Navalcarnero;Agricultura y ganadería;65;
2017;Municipios;0973;Navarredonda y San Mamés;Agricultura y ganadería;3;
2017;Municipios;0992;Navas del Rey;Agricultura y ganadería;20;
2017;Municipios;1006;Nuevo Baztán;Agricultura y ganadería;7;
2017;Municipios;1013;Olmeda de las Fuentes;Agricultura y ganadería;4;
2017;Municipios;1028;Orusco de Tajuña;Agricultura y ganadería;4;
2017;Municipios;1049;Paracuellos de Jarama;Agricultura y ganadería;17;
